Severity,Rule ID,Source Type,Project,Provider,Resource,Event,File,Line,Code,Issue,Recommendation
RED,IGN83-ALARM-001,Project,BrownSugarSilo,,,,BrownSugarSilo\com.inductiveautomation.perspective\views\Navigation\Header\view.json,421,"""code"": ""\tstate \u003d [\""ActiveUnacked\"", \""ActiveAcked\""]\n\talarms \u003d system.alarm.queryStatus( state  \u003d state, provider \u003d \""Brown Sugar Silo\"")\n\treturn len(alarms)"",",system.alarm.queryStatus() usage detected.,Inspect every consumer; pay special attention to .getDataset() and exact type assumptions.
RED,IGN83-TAG-003,Project,BrownSugarSilo,,,,BrownSugarSilo\com.inductiveautomation.perspective\views\Templates\Faceplates\AnalogInput Faceplate\view.json,711,"""code"": ""\t\n\ttagPath \u003d value\n\t\n\tresults \u003d system.tag.browse(tagPath, filter \u003d {\u0027recursive\u0027:True})\n\t\n\talarmList \u003d []\n\trepeatDic \u003d {}\t\n\tinstances \u003d []\n\t\n\tfor result in results.getResults():\n\t\tpath \u003d str(result[\u0027fullPath\u0027])\n\t\ttagType \u003d str(result[\u0027tagType\u0027])\n\t\tif \u0027/Alarming/\u0027 in path and tagType \u003d\u003d \u0027UdtInstance\u0027:\n\t\t\talarmList.append(result)\t\t\n\t\t\n\tfor r in range(len(alarmList)):\n\t\tif alarmList[r][\u0027name\u0027] \u003d\u003d \u0027StsHiHi\u0027:\n\t\t\tpath \u003d str(alarmList[r][\u0027fullPath\u0027])\n\t\t\tname \u003d alarmList[r][\u0027name\u0027]\n\t\t\tunit \u003d system.tag.readBlocking([self.view.getChild(\""root\"").custom.tagPaths.EngUnit])\n\t\t\trepeatDict \u003d {\n\t\t\t\t\u0027name\u0027:name,\n\t\t\t\t\u0027path\u0027:path,\n\t\t\t\t\u0027unit\u0027 : unit[0].value,\n\t\t\t\t\u0027instanceStyle\u0027:{},\n\t\t\t\t\u0027instancePosition\u0027:{}\n\t\t\t}\n\t\t\tinstances.append(repeatDict)\n\t\n\tfor r in range(len(alarmList)):\n\t\tif alarmList[r][\u0027name\u0027] !\u003d \u0027StsHiHi\u0027:\n\t\t\tif alarmList[r][\u0027name\u0027] !\u003d \u0027StsFail\u0027:\n\t\t\t\tpath \u003d str(alarmList[r][\u0027fullPath\u0027])\n\t\t\t\tname \u003d alarmList[r][\u0027name\u0027]\n\t\t\t\tunit \u003d system.tag.readBlocking([self.view.getChild(\""root\"").custom.tagPaths.EngUnit])\n\t\t\t\trepeatDict \u003d {\n\t\t\t\t\t\u0027name\u0027:name,\n\t\t\t\t\t\u0027path\u0027:path,\n\t\t\t\t\t\u0027unit\u0027 : unit[0].value,\n\t\t\t\t\t\u0027instanceStyle\u0027:{},\n\t\t\t\t\t\u0027instancePosition\u0027:{}\n\t\t\t\t}\n\t\t\t\tinstances.append(repeatDict)\n\t\t\n\treturn instances"",",system.tag.browse() usage detected.,Inspect relative-path calls first; absolute-path calls are lower risk.
RED,IGN83-TAG-003,Project,BrownSugarSilo,,,,BrownSugarSilo\com.inductiveautomation.perspective\views\Templates\Faceplates\Valve Faceplate\AlarmSetpoints\view.json,52,"""code"": ""\tdef ordering(instances):\n\t\treturn instances[\u0027order\u0027]\n\t\n\ttagPath \u003d value\n\t\n\tresults \u003d system.tag.browse(tagPath, filter \u003d {\u0027recursive\u0027:True})\n\t\n\talarmList \u003d []\n\trepeatDic \u003d {}\t\n\tinstances \u003d []\n\t\n\tfor result in results.getResults():\n\t\tpath \u003d str(result[\u0027fullPath\u0027])\n\t\ttagType \u003d str(result[\u0027tagType\u0027])\n\t\tif \u0027/Alarming/\u0027 in path and tagType \u003d\u003d \u0027UdtInstance\u0027:\n\t\t\talarmList.append(result)\t\t\n\t\t\n\tfor r in range(len(alarmList)):\n\t\tpath \u003d str(alarmList[r][\u0027fullPath\u0027])\n\t\tname \u003d alarmList[r][\u0027name\u0027]\n\t\torder \u003d (system.tag.read(path+\u0027/Parameters.OrderNumber\u0027).value)\n\t\trepeatDict \u003d {\n\t\t\t\u0027name\u0027:name,\n\t\t\t\u0027path\u0027:path,\n\t\t\t\u0027order\u0027:order,\n\t\t\t\u0027instanceStyle\u0027:{},\n\t\t\t\u0027instancePosition\u0027:{}\n\t\t}\n\t\tinstances.append(repeatDict)\n\t\t\n\treturn sorted(instances, key\u003dordering)"",",system.tag.browse() usage detected.,Inspect relative-path calls first; absolute-path calls are lower risk.
RED,IGN83-ALARM-004,Project,BrownSugarSilo,,,,BrownSugarSilo\com.inductiveautomation.perspective\views\Templates\Symbols\SimpleFan\view.json,114,"""script"": ""\t\t\n\ttagPath \u003d self.view.params.rootTagPath\n\tt \u003d (templates.getActiveChildrenAlarms(tagPath)).getDataset()\t\n\n\ttag \u003d t.getValueAt(0,\""Source\"")\n#\tsplitFilter \u003d (tag.split(\""alm:\""))[1]\n#\ttagFilter \u003d str(splitFilter)\n\tsplitFilter \u003d (tag.split(\""tag:\""))[1]\n\ttagFilter \u003d (splitFilter.split(\""/\""))[0]\n\t\n\tsystem.perspective.openDock(\""alarmDock\"",params\u003d{\""filter\"":tagFilter})""",.getDataset() consumer detected.,Trace the receiver back to queryStatus/queryJournal/other Ignition result objects and verify the method still exists.
RED,IGN83-DB-011,Project,BrownSugarSilo,,,,BrownSugarSilo\com.inductiveautomation.perspective\views\Widgets\Job Management\MaterialSelections\view.json,502,"""script"": ""\tstatustagPath \u003d self.session.custom.operationDataTagPath + \u0027/CurrentState\u0027\n\tsteptagPath \u003d self.session.custom.operationDataTagPath + \u0027/StepIndex\u0027\n\tstepIndex \u003d self.view.custom.pageNumber\n\tjobBatchOperationID \u003d self.session.custom.batchCardData.jobBatch.operations[stepIndex].id\n\t\n\t#Update the current operation/step is completed\n\tstatusTypeID \u003d 9 #Operation Stauts 9 - Completed\n\tcomment \u003d \""\""\n\tcreatedBy \u003d self.session.custom.username\n\tsystem.tag.writeBlocking([statustagPath],[statusTypeID])\n\tstatusResponse \u003d system.db.runNamedQuery(\""jobOperationStatusCreate\"", parameters \u003d {\""jobBatchOperationID\"" : jobBatchOperationID  , \n\t\t\t\t\t\t\t\t\t\t\t\t\""statusTypeID\"" : statusTypeID, \""comment\"" : comment, \""createdBy\"" : createdBy})\n\t\n\t#Update the current batch is completed\t\t\t\t\t\t\t\t\t\t\t\t\n\tstatusTypeID \u003d 10\n\tjobBatchID \u003d self.session.custom.batchCardData.jobBatch.batch.id\n\tjobResourceID \u003d self.session.custom.blender\n\tcomment \u003d \""OPERATOR : Batch Completed\""\n\tcreatedBy \u003d self.session.custom.username\n\tsystem.db.runNamedQuery(\""jobBatchStatusCreate\"", parameters \u003d {\""statusTypeID\"" : statusTypeID  , \""jobBatchID\"" : jobBatchID, \""jobResourceID\"" : jobResourceID,\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\""comment\"" : comment, \""createdBy\"" : createdBy})\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t#Update for next batch process\n\tself.session.custom.remainingJobQty \u003d self.view.custom.remainingQty\n\t\n\tif self.view.custom.remainingQty \u003d\u003d 0:\n\t\t#Complete Job\n\t\tjob_id \u003d self.session.custom.batchCardData.jobBatch.job.number\n\t\tquantity \u003d self.session.custom.batchCardData.jobBatch.job.jobQty\n\t\tbin \u003d \""M\"" + str(self.session.custom.blender)\n\t\tlot_number \u003d \""\""\n\t\tsystem.db.runNamedQuery(\u0027completeJob\u0027, {\u0027Job_ID\u0027:job_id, \u0027Quantity\u0027: quantity, \u0027Bin\u0027: bin, \u0027LotNumber\u0027: lot_number})\n\t\t\n\t\t\n\t\tstatusTagPath \u003d self.session.custom.operationDataTagPath + \u0027/CurrentState\u0027\n\t\tstepTagpath \u003d self.session.custom.operationDataTagPath + \u0027/StepIndex\u0027\n\t\tblenderstopTagPath \u003d self.session.custom.jobDataTagPath + \u0027/Blender/Stop\u0027\n\t\tsystem.tag.writeBlocking([stepTagpath,statusTagPath,blenderstopTagPath],[None,None,1])\n\t\tself.session.custom.batchCardData \u003d{}\n\telse:\n\t\tstatusTagPath \u003d self.session.custom.operationDataTagPath + \u0027/CurrentState\u0027\n\t\tstepTagpath \u003d self.session.custom.operationDataTagPath + \u0027/StepIndex\u0027\n\t\tblenderstopTagPath \u003d self.session.custom.jobDataTagPath + \u0027/Blender/Stop\u0027\n\t\tsystem.tag.writeBlocking([stepTagpath,statusTagPath,blenderstopTagPath],[None,None,1])\n\t\tself.session.custom.batchCardData \u003d{}\n\t""",runNamedQuery() explicitly passed None for parameters.,Use {} when no parameters are required or fix wrappers whose default params=None is forwarded unchanged.
RED,IGN83-DB-011,Project,BrownSugarSilo,,,,BrownSugarSilo\com.inductiveautomation.perspective\views\Widgets\Job Management\ToteFill\view.json,63,"""script"": ""\tstatustagPath \u003d self.session.custom.operationDatatagPath + \u0027/CurrentState\u0027\n\tsteptagPath \u003d self.session.custom.operationDatatagPath + \u0027/StepIndex\u0027\n\tstepIndex \u003d self.view.getChild(\""root\"").custom.pageNumber\n\tjobBatchOperationID \u003d self.session.custom.batchCardData.jobBatch.operations[stepIndex].id\n\tstatusTypeID \u003d 9 #Operation Stauts 9 - Completed\n\tcomment \u003d \""\""\n\tcreatedBy \u003d self.session.custom.username\n\tsystem.tag.writeBlocking([statustagPath],[statusTypeID])\n\tstatusResponse \u003d system.db.runNamedQuery(\""Job/jobOperationStatusCreate\"", parameters \u003d {\""jobBatchOperationID\"" : jobBatchOperationID  , \n\t\t\t\t\t\t\t\t\t\t\t\t\""statusTypeID\"" : statusTypeID, \""comment\"" : comment, \""createdBy\"" : createdBy})\n\t\t\t\t\t\t\t\t\t\t\t\t\t\n\tstatusTypeID \u003d 10\n\tjobBatchID \u003d self.session.custom.batchCardData.jobBatch.batch.id\n\tjobResourceID \u003d self.session.custom.blender\n\tcomment \u003d \""OPERATOR : Batch Completed\""\n\tcreatedBy \u003d self.session.custom.username\n\tsystem.db.runNamedQuery(\""Job/jobBatchStatusCreate\"", parameters \u003d {\""statusTypeID\"" : statusTypeID  , \""jobBatchID\"" : jobBatchID, \""jobResourceID\"" : jobResourceID,\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\""comment\"" : comment, \""createdBy\"" : createdBy})\t\n\t\t\n\t#self.session.custom.userbatchQty \u003d 0\n\tif self.session.custom.remainingJobQty \u003d\u003d 0:\n\t\tself.session.custom.remainingJobQty \u003d int(self.session.custom.selectedJobQty) - int(self.session.custom.userbatchQtyLBS)\n\telse:\n\t\tself.session.custom.remainingJobQty \u003d int(self.session.custom.remainingJobQty) - int(self.session.custom.userbatchQtyLBS)\n\tself.session.custom.batchCardData \u003d{}\n\tstatustagPath \u003d self.session.custom.operationDatatagPath + \u0027/CurrentState\u0027\n\tstepIndextagPath \u003d self.session.custom.operationDatatagPath + \u0027/StepIndex\u0027\n\tmaterialSelectiontagPath \u003d self.session.custom.materialSelectiontagPath\n\tsystem.tag.writeBlocking([statustagPath,stepIndextagPath,materialSelectiontagPath],[None,None,None])""",runNamedQuery() explicitly passed None for parameters.,Use {} when no parameters are required or fix wrappers whose default params=None is forwarded unchanged.
RED,IGN83-ALARM-001,Project,Copy_Of_BrownSugarSilo_2025-28-01,,,,Copy_Of_BrownSugarSilo_2025-28-01\com.inductiveautomation.perspective\views\Navigation\Header\view.json,421,"""code"": ""\tstate \u003d [\""ActiveUnacked\"", \""ActiveAcked\""]\n\talarms \u003d system.alarm.queryStatus( state  \u003d state, provider \u003d \""Brown Sugar Silo\"")\n\treturn len(alarms)"",",system.alarm.queryStatus() usage detected.,Inspect every consumer; pay special attention to .getDataset() and exact type assumptions.
RED,IGN83-TAG-003,Project,Copy_Of_BrownSugarSilo_2025-28-01,,,,Copy_Of_BrownSugarSilo_2025-28-01\com.inductiveautomation.perspective\views\Templates\Faceplates\AnalogInput Faceplate\view.json,711,"""code"": ""\t\n\ttagPath \u003d value\n\t\n\tresults \u003d system.tag.browse(tagPath, filter \u003d {\u0027recursive\u0027:True})\n\t\n\talarmList \u003d []\n\trepeatDic \u003d {}\t\n\tinstances \u003d []\n\t\n\tfor result in results.getResults():\n\t\tpath \u003d str(result[\u0027fullPath\u0027])\n\t\ttagType \u003d str(result[\u0027tagType\u0027])\n\t\tif \u0027/Alarming/\u0027 in path and tagType \u003d\u003d \u0027UdtInstance\u0027:\n\t\t\talarmList.append(result)\t\t\n\t\t\n\tfor r in range(len(alarmList)):\n\t\tif alarmList[r][\u0027name\u0027] \u003d\u003d \u0027StsHiHi\u0027:\n\t\t\tpath \u003d str(alarmList[r][\u0027fullPath\u0027])\n\t\t\tname \u003d alarmList[r][\u0027name\u0027]\n\t\t\tunit \u003d system.tag.readBlocking([self.view.getChild(\""root\"").custom.tagPaths.EngUnit])\n\t\t\trepeatDict \u003d {\n\t\t\t\t\u0027name\u0027:name,\n\t\t\t\t\u0027path\u0027:path,\n\t\t\t\t\u0027unit\u0027 : unit[0].value,\n\t\t\t\t\u0027instanceStyle\u0027:{},\n\t\t\t\t\u0027instancePosition\u0027:{}\n\t\t\t}\n\t\t\tinstances.append(repeatDict)\n\t\n\tfor r in range(len(alarmList)):\n\t\tif alarmList[r][\u0027name\u0027] !\u003d \u0027StsHiHi\u0027:\n\t\t\tif alarmList[r][\u0027name\u0027] !\u003d \u0027StsFail\u0027:\n\t\t\t\tpath \u003d str(alarmList[r][\u0027fullPath\u0027])\n\t\t\t\tname \u003d alarmList[r][\u0027name\u0027]\n\t\t\t\tunit \u003d system.tag.readBlocking([self.view.getChild(\""root\"").custom.tagPaths.EngUnit])\n\t\t\t\trepeatDict \u003d {\n\t\t\t\t\t\u0027name\u0027:name,\n\t\t\t\t\t\u0027path\u0027:path,\n\t\t\t\t\t\u0027unit\u0027 : unit[0].value,\n\t\t\t\t\t\u0027instanceStyle\u0027:{},\n\t\t\t\t\t\u0027instancePosition\u0027:{}\n\t\t\t\t}\n\t\t\t\tinstances.append(repeatDict)\n\t\t\n\treturn instances"",",system.tag.browse() usage detected.,Inspect relative-path calls first; absolute-path calls are lower risk.
RED,IGN83-TAG-003,Project,Copy_Of_BrownSugarSilo_2025-28-01,,,,Copy_Of_BrownSugarSilo_2025-28-01\com.inductiveautomation.perspective\views\Templates\Faceplates\Valve Faceplate\AlarmSetpoints\view.json,52,"""code"": ""\tdef ordering(instances):\n\t\treturn instances[\u0027order\u0027]\n\t\n\ttagPath \u003d value\n\t\n\tresults \u003d system.tag.browse(tagPath, filter \u003d {\u0027recursive\u0027:True})\n\t\n\talarmList \u003d []\n\trepeatDic \u003d {}\t\n\tinstances \u003d []\n\t\n\tfor result in results.getResults():\n\t\tpath \u003d str(result[\u0027fullPath\u0027])\n\t\ttagType \u003d str(result[\u0027tagType\u0027])\n\t\tif \u0027/Alarming/\u0027 in path and tagType \u003d\u003d \u0027UdtInstance\u0027:\n\t\t\talarmList.append(result)\t\t\n\t\t\n\tfor r in range(len(alarmList)):\n\t\tpath \u003d str(alarmList[r][\u0027fullPath\u0027])\n\t\tname \u003d alarmList[r][\u0027name\u0027]\n\t\torder \u003d (system.tag.read(path+\u0027/Parameters.OrderNumber\u0027).value)\n\t\trepeatDict \u003d {\n\t\t\t\u0027name\u0027:name,\n\t\t\t\u0027path\u0027:path,\n\t\t\t\u0027order\u0027:order,\n\t\t\t\u0027instanceStyle\u0027:{},\n\t\t\t\u0027instancePosition\u0027:{}\n\t\t}\n\t\tinstances.append(repeatDict)\n\t\t\n\treturn sorted(instances, key\u003dordering)"",",system.tag.browse() usage detected.,Inspect relative-path calls first; absolute-path calls are lower risk.
RED,IGN83-ALARM-004,Project,Copy_Of_BrownSugarSilo_2025-28-01,,,,Copy_Of_BrownSugarSilo_2025-28-01\com.inductiveautomation.perspective\views\Templates\Symbols\SimpleFan\view.json,114,"""script"": ""\t\t\n\ttagPath \u003d self.view.params.rootTagPath\n\tt \u003d (templates.getActiveChildrenAlarms(tagPath)).getDataset()\t\n\n\ttag \u003d t.getValueAt(0,\""Source\"")\n#\tsplitFilter \u003d (tag.split(\""alm:\""))[1]\n#\ttagFilter \u003d str(splitFilter)\n\tsplitFilter \u003d (tag.split(\""tag:\""))[1]\n\ttagFilter \u003d (splitFilter.split(\""/\""))[0]\n\t\n\tsystem.perspective.openDock(\""alarmDock\"",params\u003d{\""filter\"":tagFilter})""",.getDataset() consumer detected.,Trace the receiver back to queryStatus/queryJournal/other Ignition result objects and verify the method still exists.
