Scope Type,Scope,Untracked Vision Binaries,Script Findings,Files/Scripts Scanned
Global,All,2150,2073,9342
Project,Administrative_Utility,0,2,25
Project,alarm-pipelines,1,0,16
Project,Aseptic,208,0,218
Project,BrownSugarSilo,0,48,361
Project,Coffee_Blending,96,5,134
Project,Coffee_PROD_Backup_TS,160,0,173
Project,Copy_Of_BrownSugarSilo_2025-28-01,0,46,373
Project,copy_of_Heartland_UHT,83,0,124
Project,Copy_Of_Plant_Displays_rev2,62,0,188
Project,copy_of_SingleServe_HMI,0,88,222
Project,copy_of_SingleServe_HMI_1,0,94,222
Project,DataEntry,0,16,105
Project,Davids_Test3_The_search_4_Spock,10,0,38
Project,Downtime_Template,0,0,26
Project,engineering-dashboard,0,14,71
Project,FW_Diagnostics,1,0,6
Project,Gateway_Scripts,0,0,13
Project,global,269,168,605
Project,Heartland_Tea,76,0,89
Project,Heartland_UHT,77,90,133
Project,HFG_CIP,50,3,226
Project,HFG_CIP_Admin,36,0,59
Project,HFG_Coffee,45,9,83
Project,HFG_Coffee_OLD,166,0,181
Project,HFG_SIP_Reporting,7,0,116
Project,Laxmi_Project,0,0,27
Project,LaxmiProject,0,0,2
Project,Line_Downtime_Tracking,0,0,39
Project,LWE_Blend1,0,2,12
Project,LWE_Blend2,0,1,10
Project,LWE_Blending_Syrup_Line,0,0,25
Project,LWE_Filler1,0,0,4
Project,LWE_Filler3,0,0,8
Project,LWE_Filler4,0,0,8
Project,LWE_Fillers_V2,0,26,85
Project,LWE_Filling,0,0,6
Project,LWE_Master,3,452,744
Project,LWE_Master_20260521,289,157,382
Project,LWE_Matrix,0,3,13
Project,LWE_Syrup_Display,0,0,17
Project,LWE_TankFarm,99,0,112
Project,LWE_TankFarm_Global,110,0,121
Project,Material_WeighUp,0,53,164
Project,Monitoring,0,0,13
Project,OEE,0,35,167
Project,Patrick_Perspective_Design,0,0,17
Project,Perspective_Global,0,25,393
Project,Plant_Displays,62,3,242
Project,Report_Troubleshooting,0,0,2
Project,RO,7,0,18
Project,Sample_Dashboards,62,0,152
Project,SingleServe_Core,0,23,406
Project,SingleServe_HMI,1,211,320
Project,SingleServe_HMI_2026-06-19_1439,0,110,640
Project,SingleServe_IT_Admin,0,48,349
Project,Spray_Dry_iPad_Form,0,4,62
Project,Tea_Blending,104,11,140
Project,test,0,0,2
Project,test123,0,0,7
Project,TEST_SIP_Reporting,0,0,2
Project,Test_SS_Displays,3,0,15
Project,TestPermission,0,0,5
Project,Transaction_Groups,0,0,449
Project,Utilities,61,0,73
Project,Valve_Test_Screen,0,0,1
Project,WallClockSync,1,0,18
Project,Z_CMC_Test_001,1,19,23
Project,Z_CMC_Test_SingleServe,0,1,67
Tag Events,Gateway,0,306,173
