Project,Resource,File,Size Bytes,Coverage Status,Recommendation
alarm-pipelines,windows/Red Lion Data,alarm-pipelines\com.inductiveautomation.vision\windows\Red Lion Data\window.bin,2438,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/Alarm Count Label,Aseptic\com.inductiveautomation.vision\templates\Alarm Count Label\data.bin,4619,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Instruments/Conductivity,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Instruments\Conductivity\data.bin,3603,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Instruments/DigitalIndicator,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Instruments\DigitalIndicator\data.bin,3692,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Instruments/Flow,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Instruments\Flow\data.bin,5790,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Instruments/Pressure,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Instruments\Pressure\data.bin,4209,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Instruments/Temperature,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Instruments\Temperature\data.bin,3497,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Pumps/Centrifugal,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Pumps\Centrifugal\data.bin,9916,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Pumps/Diaphragm,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Pumps\Diaphragm\data.bin,4773,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Pumps/Disconnect,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Pumps\Disconnect\data.bin,4979,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Pumps/Motor,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Pumps\Motor\data.bin,5727,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Static/BrazedPlate,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Static\BrazedPlate\data.bin,7133,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Static/Coil,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Static\Coil\data.bin,5586,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Static/Filter,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Static\Filter\data.bin,3598,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Static/PRV,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Static\PRV\data.bin,4659,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Static/SprayBall,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Static\SprayBall\data.bin,2000,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Static/SWC,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Static\SWC\data.bin,3131,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Valves/BallValve,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Valves\BallValve\data.bin,7756,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Valves/Burkert,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Valves\Burkert\data.bin,7059,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Valves/ControlValve,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Valves\ControlValve\template.bin,7429,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Valves/ControlValveSanitary,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Valves\ControlValveSanitary\data.bin,7551,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Valves/ControlValveSanitaryHor,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Valves\ControlValveSanitaryHor\data.bin,7565,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
Aseptic,templates/APS Devices/Valves/DivertDrain,Aseptic\com.inductiveautomation.vision\templates\APS Devices\Valves\DivertDrain\data.bin,7924,Untracked Vision Binary,"Open/modify/save this Vision window/template in an Ignition 8.3 Designer to convert it to XML, then rerun the scanner."
